acc,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE_filetype_ss,DATASTORE_provider_ss,DATASTORE_region_ss,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study
SRR515202,WGS,208,46949126224,PRJNA168142,SAMN01047694,31238111077,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX152739,Illumina HiSeq 2000,Thoroughbred,PAIRED,RANDOM,GENOMIC,46949,29790,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,SRS345324,thb2,SRP013636
SRR515203,WGS,208,47826739584,PRJNA168142,SAMN01047695,32176855739,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX152741,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,47826,30686,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,SRS345325,thb3,SRP013636
SRR515204,WGS,208,46547597616,PRJNA168142,SAMN01047696,31183090060,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX155566,Illumina HiSeq 2000,throughbred,PAIRED,RANDOM,GENOMIC,46547,29738,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,SRS345326,thb4,SRP013636
SRR515206,WGS,208,51010361168,PRJNA168142,SAMN01047698,35074350927,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX155568,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,51010,33449,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,SRS345328,thb6,SRP013636
SRR515208,WGS,208,53189700720,PRJNA168142,SAMN01047699,37444866179,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX155569,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,53189,35710,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,SRS345329,thb7,SRP013636
SRR515209,WGS,208,42367046176,PRJNA168142,SAMN01047700,27296968642,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX155570,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,42367,26032,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,SRS345330,thb8,SRP013636
SRR515211,WGS,208,43369195792,PRJNA168142,SAMN01047701,28102335043,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX155571,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,43369,26800,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,SRS345331,thb9,SRP013636
SRR515212,WGS,208,41784631616,PRJNA168142,SAMN01047702,26881239966,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX155572,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,41784,25635,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,SRS345332,thb10,SRP013636
SRR515213,WGS,208,51296597664,PRJNA168142,SAMN01047703,34828567732,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX155573,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,51296,33215,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,SRS345333,thb11,SRP013636
SRR515214,WGS,208,52842614032,PRJNA168142,SAMN01047704,36730059338,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX155574,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,52842,35028,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,SRS345334,thb12,SRP013636
