QTL_ID	Symbol	Chromosome	Center_cM	Range_cM	Cood_A_bp	Coord_B_bp	Trait_Name	Significance	FlankMrkA2	FlankMrkA1	FlankMrkB1	FlankMrkB2
28381	NAVBM	2	69.8		0	100	Navicular bone morphology	Significant				
28382	NAVBM	2	75.4		0	100	Navicular bone morphology	Significant				
28383	NAVBM	2	78.2		0	100	Navicular bone morphology	Significant				
28384	NAVBM	2	85.5		0	100	Navicular bone morphology	Significant				
28385	NAVBM	2	62.2		0	100	Navicular bone morphology	Significant				
28415	NAVBM	2	31.1		0	100	Navicular bone morphology	Significant				
28416	NAVBM	2	69.8		0	100	Navicular bone morphology	Significant				
28417	NAVBM	2	62		0	100	Navicular bone morphology	Significant				
28418	NAVBM	2	34.7		0	100	Navicular bone morphology	Significant				
28419	NAVBM	2	36.1		0	100	Navicular bone morphology	Significant				
28420	NAVBM	2	36.9		0	100	Navicular bone morphology	Significant				
28421	NAVBM	2	55.3		0	100	Navicular bone morphology	Significant				
28422	NAVBM	2	38.6		0	100	Navicular bone morphology	Significant				
28423	NAVBM	2	38.6		0	100	Navicular bone morphology	Significant				
28424	NAVBM	2	78.2		0	100	Navicular bone morphology	Significant				
28425	NAVBM	2	75.4		0	100	Navicular bone morphology	Significant				
28426	NAVBM	2	62.2		0	100	Navicular bone morphology	Significant				
28427	NAVBM	2	44.2		0	100	Navicular bone morphology	Significant				
28428	NAVBM	2	44.8		0	100	Navicular bone morphology	Significant				
28429	NAVBM	2	47.9		0	100	Navicular bone morphology	Significant				
28430	NAVBM	2	97.5		0	100	Navicular bone morphology	Significant				
28431	NAVBM	2	60.8		0	100	Navicular bone morphology	Significant				
28432	NAVBM	2	85.5		0	100	Navicular bone morphology	Significant				
28433	NAVBM	2	66.8		0	100	Navicular bone morphology	Significant				
28364	NAVBM	3	21.2		0	100	Navicular bone morphology	Significant				
28365	NAVBM	3	30.2		0	100	Navicular bone morphology	Significant				
28366	NAVBM	3	34.0		0	100	Navicular bone morphology	Significant				
28367	NAVBM	3	71.6		0	100	Navicular bone morphology	Significant				
28368	NAVBM	3	72.0		0	100	Navicular bone morphology	Significant				
28386	NAVBM	3	0	0-1	0	100	Navicular bone morphology	Significant				
28387	NAVBM	3	24.4		0	100	Navicular bone morphology	Significant				
28388	NAVBM	3	21.2		0	100	Navicular bone morphology	Significant				
28389	NAVBM	3	30.2		0	100	Navicular bone morphology	Significant				
28390	NAVBM	3	71.6		0	100	Navicular bone morphology	Significant				
28391	NAVBM	3	72.0		0	100	Navicular bone morphology	Significant				
28369	NAVBM	4	16.19	16.19-16.19	0	100	Navicular bone morphology	Significant				
28392	NAVBM	4	57.8		0	100	Navicular bone morphology	Significant				
28393	NAVBM	4	82.8		0	100	Navicular bone morphology	Significant				
28394	NAVBM	4	73.3		0	100	Navicular bone morphology	Significant				
28406	NAVBM	4	117.7		0	100	Navicular bone morphology	Significant				
28395	NAVBM	7	45.6		0	100	Navicular bone morphology	Significant				
28396	NAVBM	7	102.1		0	100	Navicular bone morphology	Significant				
28407	NAVBM	7	18.1		0	100	Navicular bone morphology	Significant				
28408	NAVBM	7	43		0	100	Navicular bone morphology	Significant				
28409	NAVBM	7	66.0		0	100	Navicular bone morphology	Significant				
28370	NAVBM	10	4.8		0	100	Navicular bone morphology	Significant				
28371	NAVBM	10	74.9		0	100	Navicular bone morphology	Significant				
28372	NAVBM	10	49		0	100	Navicular bone morphology	Significant				
28373	NAVBM	10	49.8		0	100	Navicular bone morphology	Significant				
28374	NAVBM	10	63		0	100	Navicular bone morphology	Significant				
28375	NAVBM	10	61.2		0	100	Navicular bone morphology	Significant				
28376	NAVBM	10	80.2		0	100	Navicular bone morphology	Significant				
28377	NAVBM	10	69.8		0	100	Navicular bone morphology	Significant				
28434	NAVBM	10	8.6		0	100	Navicular bone morphology	Significant				
28435	NAVBM	10	8.7		0	100	Navicular bone morphology	Significant				
28436	NAVBM	10	2.36	2.35-2.36	0	100	Navicular bone morphology	Significant				
28437	NAVBM	10	4.8		0	100	Navicular bone morphology	Significant				
28438	NAVBM	10	41		0	100	Navicular bone morphology	Significant				
28439	NAVBM	10	32.1		0	100	Navicular bone morphology	Significant				
28440	NAVBM	10	25.4		0	100	Navicular bone morphology	Significant				
28441	NAVBM	10	25.4		0	100	Navicular bone morphology	Significant				
28442	NAVBM	10	25.4		0	100	Navicular bone morphology	Significant				
28443	NAVBM	10	25.4		0	100	Navicular bone morphology	Significant				
28444	NAVBM	10	74.9		0	100	Navicular bone morphology	Significant				
28445	NAVBM	10	61.2		0	100	Navicular bone morphology	Significant				
28446	NAVBM	10	27.90		0	100	Navicular bone morphology	Significant				
28447	NAVBM	10	27.9		0	100	Navicular bone morphology	Significant				
28448	NAVBM	10	49		0	100	Navicular bone morphology	Significant				
28449	NAVBM	10	49.8		0	100	Navicular bone morphology	Significant				
28450	NAVBM	10	63		0	100	Navicular bone morphology	Significant				
28451	NAVBM	10	31.5		0	100	Navicular bone morphology	Significant				
28452	NAVBM	10	31.5		0	100	Navicular bone morphology	Significant				
28453	NAVBM	10	31.5		0	100	Navicular bone morphology	Significant				
28454	NAVBM	10	31.5		0	100	Navicular bone morphology	Significant				
28455	NAVBM	10	31.5		0	100	Navicular bone morphology	Significant				
28456	NAVBM	10	31.5		0	100	Navicular bone morphology	Significant				
28457	NAVBM	10	31.6		0	100	Navicular bone morphology	Significant				
28458	NAVBM	10	32.1		0	100	Navicular bone morphology	Significant				
28459	NAVBM	10	80.2		0	100	Navicular bone morphology	Significant				
28460	NAVBM	10	69.8		0	100	Navicular bone morphology	Significant				
28461	NAVBM	10	38.7		0	100	Navicular bone morphology	Significant				
28462	NAVBM	10	39.2		0	100	Navicular bone morphology	Significant				
28463	NAVBM	10	53.8		0	100	Navicular bone morphology	Significant				
28378	NAVBM	13	78.2		0	100	Navicular bone morphology	Significant				
28379	NAVBM	14	3.6		0	100	Navicular bone morphology	Significant				
28380	NAVBM	14	27.8		0	100	Navicular bone morphology	Significant				
28397	NAVBM	15	102.1		0	100	Navicular bone morphology	Significant				
28398	NAVBM	15	101.3		0	100	Navicular bone morphology	Significant				
28399	NAVBM	15	51		0	100	Navicular bone morphology	Significant				
28400	NAVBM	17	4.4		0	100	Navicular bone morphology	Significant				
28401	NAVBM	18	87.6		0	100	Navicular bone morphology	Significant				
28402	NAVBM	22	79.7		0	100	Navicular bone morphology	Significant				
28403	NAVBM	24	1.6		0	100	Navicular bone morphology	Significant				
28404	NAVBM	24	8.4		0	100	Navicular bone morphology	Significant				
28405	NAVBM	26	6.9		0	100	Navicular bone morphology	Significant				
28410	NAVBM	26	19.4		0	100	Navicular bone morphology	Significant				
28411	NAVBM	29	75.5		0	100	Navicular bone morphology	Significant				
28412	NAVBM	29	107.7		0	100	Navicular bone morphology	Significant				
28413	NAVBM	30	31.4		0	100	Navicular bone morphology	Significant				
28414	NAVBM	31	41.1		0	100	Navicular bone morphology	Significant				
