QTL_ID	Symbol	Chromosome	Center_cM	Range_cM	Cood_A_bp	Coord_B_bp	Trait_Name	Significance	FlankMrkA2	FlankMrkA1	FlankMrkB1	FlankMrkB2
119800	TEMPR	1	178.38	178.38-178.38	33453409	33453449	temperament	Significant				
119802	TEMPR	1	178.49	178.49-178.49	33473026	33473066	temperament	Significant				
119811	TEMPR	8	521.79	521.79-521.79	44164808	44164848	temperament	Significant				
119803	TEMPR	9	324.92	324.92-324.92	77622359	77622399	temperament	Significant				
119813	TEMPR	9	189.54	189.54-189.54	45279862	45279902	temperament	Significant				
119806	TEMPR	13	379.94	379.94-379.94	23516296	23516336	temperament	Significant				
119809	TEMPR	13	328.71	328.71-328.71	20345402	20345442	temperament	Significant				
119810	TEMPR	13	313.78	313.78-313.78	19421136	19421176	temperament	Significant				
119812	TEMPR	13	321.36	321.36-321.36	19890300	19890340	temperament	Significant				
119814	TEMPR	13	311.83	311.83-311.83	19300463	19300503	temperament	Significant				
119815	TEMPR	13	324.69	324.69-324.69	20096485	20096525	temperament	Significant				
119816	TEMPR	13	324.69	324.69-324.69	20096656	20096696	temperament	Significant				
119804	TEMPR	15	285.50	285.50-285.50	6057783	6057823	temperament	Significant				
119808	TEMPR	18	47.24	47.24-47.24	25280322	25280362	temperament	Significant				
119819	TEMPR	21	969.24	969.24-969.24	51892884	51892924	temperament	Significant				
119820	TEMPR	21	918.98	918.98-918.98	49202390	49202430	temperament	Significant				
119801	TEMPR	23	1.65	1.65-1.65	1197027	1197067	temperament	Significant				
119817	TEMPR	25	33.52	33.52-33.52	25292102	25292142	temperament	Significant				
119818	TEMPR	25	33.22	33.22-33.22	25064954	25064994	temperament	Significant				
119805	TEMPR	28	62.24	62.24-62.24	32996219	32996259	temperament	Significant				
119807	TEMPR	30	27.00	27.00-27.00	5124558	5124598	temperament	Significant				
