QTL_ID	Symbol	Chromosome	Center_cM	Range_cM	Cood_A_bp	Coord_B_bp	Trait_Name	Significance	FlankMrkA2	FlankMrkA1	FlankMrkB1	FlankMrkB2
29447	WHIMAR	1	830.75	830.75-830.75	155795632	155795672	White markings	Significant				
29390	WHIMAR	3	152.69	152.69-152.69	37725693	37725733	White markings	Significant				
29391	WHIMAR	3	143.31	143.31-143.31	35408412	35408452	White markings	Significant				
29392	WHIMAR	3	151.94	151.94-151.94	37540071	37540111	White markings	Significant				
29393	WHIMAR	3	313.86	313.86-313.86	77545812	77545852	White markings	Significant				
29395	WHIMAR	3	150.36	150.36-150.36	37148427	37148467	White markings	Significant				
29396	WHIMAR	3	149.67	149.67-149.67	36979178	36979218	White markings	Significant				
29397	WHIMAR	3	153.63	153.63-153.63	37957558	37957598	White markings	Significant				
29398	WHIMAR	3	151.98	151.98-151.98	37548530	37548570	White markings	Significant				
29399	WHIMAR	3	152.95	152.95-152.95	37789680	37789720	White markings	Significant				
29400	WHIMAR	3	144.34	144.34-144.34	35661784	35661824	White markings	Significant				
29401	WHIMAR	3	153.02	153.02-153.02	37806246	37806286	White markings	Significant				
29402	WHIMAR	3	294.15	294.15-294.15	72676143	72676183	White markings	Significant				
29403	WHIMAR	3	152.75	152.75-152.75	37739887	37739927	White markings	Significant				
29404	WHIMAR	3	153.63	153.63-153.63	37957756	37957796	White markings	Significant				
29405	WHIMAR	3	144.25	144.25-144.25	35639894	35639934	White markings	Significant				
29406	WHIMAR	3	147.58	147.58-147.58	36461572	36461612	White markings	Significant				
29407	WHIMAR	3	151.37	151.37-151.37	37398487	37398527	White markings	Significant				
29408	WHIMAR	3	155.65	155.65-155.65	38456948	38456988	White markings	Significant				
29409	WHIMAR	3	297.76	297.76-297.76	73566755	73566795	White markings	Significant				
29410	WHIMAR	3	297.74	297.74-297.74	73562836	73562876	White markings	Significant				
29411	WHIMAR	3	156.38	156.38-156.38	38637563	38637603	White markings	Significant				
29412	WHIMAR	3	298.13	298.13-298.13	73658226	73658266	White markings	Significant				
29413	WHIMAR	3	183.06	183.06-183.06	45228397	45228437	White markings	Significant				
